fecha,co,no2,pm10
2012-05-06,0.6425000000000001,12.958333333333334,34.958333333333336
2012-05-07,0.6937500000000001,16.125,24.666666666666668
2012-05-08,1.0041666666666667,21.727272727272727,37.0
2012-05-09,0.9454166666666666,26.916666666666668,38.916666666666664
2012-05-10,0.7595833333333334,17.523809523809526,29.75
2012-05-11,0.5779166666666666,17.25,23.958333333333332
2012-05-12,0.35708333333333325,15.375,31.25
2012-05-13,0.83,21.166666666666668,35.916666666666664
2012-05-14,0.7362500000000001,23.375,34.208333333333336
2012-05-15,0.7662500000000002,23.782608695652176,34.541666666666664
2012-05-16,0.5579166666666667,17.545454545454547,30.791666666666668
2012-05-17,0.5087499999999999,13.952380952380953,36.5
2012-05-18,0.7504166666666667,17.375,33.125
2012-05-19,0.8016666666666666,20.208333333333332,34.708333333333336
2012-05-20,0.7487499999999999,15.583333333333334,38.041666666666664
2012-05-21,0.6866666666666666,16.458333333333332,33.208333333333336
2012-05-22,0.9479166666666665,19.875,31.875
2012-05-23,0.7108333333333333,19.833333333333332,36.333333333333336
2012-05-24,0.583,21.38095238095238,28.791666666666668
2012-05-25,0.5516666666666665,14.583333333333334,27.5
2012-05-26,0.47666666666666674,13.541666666666666,19.833333333333332
2012-05-27,0.45041666666666663,12.25,20.333333333333332
2012-05-28,0.8433333333333333,17.0,28.25
2012-05-29,0.6725,15.791666666666666,31.958333333333332
2012-05-30,0.5291666666666667,21.291666666666668,36.791666666666664
2012-05-31,1.0354166666666667,30.333333333333332,52.708333333333336
2012-06-01,0.7293749999999999,23.210526315789473,54.291666666666664
2012-06-02,0.4941666666666667,14.625,35.916666666666664
2012-06-03,0.3520833333333333,12.625,32.583333333333336
2012-06-04,0.5658333333333333,19.304347826086957,25.333333333333332
2012-06-05,0.8316666666666666,22.583333333333332,39.25
2012-06-06,0.43708333333333343,17.095238095238095,33.75
2012-06-07,0.6233333333333333,19.666666666666668,31.666666666666668
2012-06-08,0.8979166666666666,26.25,55.166666666666664
2012-06-09,0.9554166666666668,23.0,56.208333333333336
2012-06-10,0.9045833333333334,28.0,30.5
2012-06-11,1.3829166666666666,27.608695652173914,46.458333333333336
2012-06-12,0.7908333333333334,15.333333333333334,31.833333333333332
2012-06-13,1.472083333333333,21.333333333333332,36.0
2012-06-14,1.665625,19.38095238095238,58.541666666666664
2012-06-15,0.5825000000000002,15.833333333333334,32.791666666666664
2012-06-16,0.3879166666666667,15.458333333333334,21.0
2012-06-17,0.42999999999999994,15.708333333333334,21.333333333333332
2012-06-18,0.645,20.541666666666668,25.666666666666668
2012-06-19,0.644375,19.2,38.916666666666664
2012-06-20,0.7279166666666668,19.75,55.666666666666664
2012-06-21,0.8670833333333331,22.083333333333332,34.75
2012-06-22,0.8216666666666668,26.791666666666668,48.583333333333336
2012-06-23,0.5616666666666666,22.458333333333332,42.375
2012-06-24,0.4512500000000001,14.875,32.0
2012-06-25,0.43166666666666664,23.318181818181817,41.416666666666664
2012-06-26,0.7454166666666667,21.875,35.875
2012-06-27,0.6537499999999999,19.476190476190474,31.0
2012-06-28,0.8629166666666667,21.791666666666668,39.458333333333336
2012-06-29,0.7858333333333333,27.583333333333332,34.416666666666664
2012-06-30,0.5733333333333334,14.833333333333334,32.166666666666664
2012-07-01,0.9220833333333331,17.666666666666668,33.083333333333336
2012-07-02,0.5575,18.045454545454547,40.583333333333336
2012-07-03,0.545,25.041666666666668,32.0
2012-07-04,0.6616666666666666,24.238095238095237,35.166666666666664
2012-07-05,0.7062499999999999,23.75,34.791666666666664
2012-07-06,0.7412500000000001,30.318181818181817,42.541666666666664
2012-07-07,0.8600000000000002,27.541666666666668,50.875
2012-07-08,0.39791666666666653,15.291666666666666,25.75
2012-07-09,0.4925000000000001,19.291666666666668,15.0
2012-07-10,0.8733333333333335,26.681818181818183,31.291666666666668
2012-07-11,0.7344444444444443,25.80952380952381,38.875
2012-07-12,0.54,18.636363636363637,39.57142857142857
2012-07-13,,23.4,
2012-07-14,,,
2012-07-15,,,
2012-07-16,0.68,33.333333333333336,
2012-07-17,1.1249999999999998,36.375,49.578947368421055
2012-07-18,1.0841666666666667,34.25,70.08333333333333
2012-07-19,1.23125,29.708333333333332,77.125
2012-07-20,1.31125,36.041666666666664,77.29166666666667
2012-07-21,1.0437500000000002,23.041666666666668,83.20833333333333
2012-07-22,0.7545833333333336,21.708333333333332,38.791666666666664
2012-07-23,0.9166666666666666,23.0,29.291666666666668
2012-07-24,1.2078947368421051,25.571428571428573,70.16666666666667
2012-07-25,0.7345833333333333,25.458333333333332,67.58333333333333
2012-07-26,0.6491666666666666,21.125,89.5
2012-07-27,0.7150000000000002,24.541666666666668,
2012-07-28,0.9229166666666669,23.708333333333332,
2012-07-29,0.7774999999999999,17.291666666666668,
2012-07-30,0.8075000000000001,24.347826086956523,
2012-07-31,0.5870833333333333,20.375,
2012-08-01,0.9170833333333333,23.0,
2012-08-02,1.0999999999999999,28.958333333333332,
2012-08-03,0.7795833333333332,21.958333333333332,
2012-08-04,0.6895833333333333,16.875,
2012-08-05,0.9783333333333335,25.708333333333332,
2012-08-06,0.82375,25.541666666666668,
2012-08-07,0.6673684210526316,18.764705882352942,
2012-08-08,0.82,17.533333333333335,
2012-08-09,0.7925,14.666666666666666,
2012-08-10,1.15875,23.0,
2012-08-11,0.8841666666666669,20.791666666666668,
2012-08-12,0.6366666666666666,12.916666666666666,
2012-08-13,1.1291666666666667,24.375,
2012-08-14,0.775,18.52173913043478,
2012-08-15,1.127058823529412,23.714285714285715,
2012-08-16,0.6829166666666667,22.208333333333332,
